Date_of_Occurrence,Time_of_Occurrence,City,Crime_Type,Victim_Age,Victim_Gender,Crime_Risk_Level,Total_Crimes,Avg_Rating_T,Bad_Review_T,Drugs_Safety_ViolentCrimes_T,Good_Review_T,Street_Scams_Fraud_T,Avg_Rating_H,Total_Hotels,Bad_Review_Count_H,Good_Review_Count_H,Street_Scams_Fraud_Count_H,Drugsafety_Violentcrimes_Count_H
01/01/2022,15:06,Lucknow,VEHICLE - STOLEN,65,M,Medium,238,4.140712393,569838,57084,46456837,15232242,3.620483369,12537,9469,2577,395,56
01/01/2022,23:44,Hyderabad,VEHICLE - STOLEN,71,M,Medium,515,4.274544445,3195806,218055,277947015,84152124,3.616645649,3965,2622,1131,161,16
01/01/2022,08:30,Kanpur,PUBLIC INTOXICATION,52,M,Medium,181,4.294280443,50461,11101,8157518,2081919,3.855245232,2936,1680,1095,114,8
01/01/2022,07:00,Patna,FIREARM OFFENSE,44,F,High,112,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.810501382,2533,1919,530,65,14
01/01/2022,20:47,Delhi,ROBBERY,62,M,High,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/01/2022,08:50,Ludhiana,DOMESTIC VIOLENCE,59,M,Medium,123,4.210769231,721108,5077,4176415,156240,4.129953917,2170,1393,643,121,11
01/01/2022,01:50,Delhi,CYBERCRIME,75,F,Medium,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/01/2022,02:22,Delhi,TRAFFIC VIOLATION,10,M,Low,901,4.249719028,2058149.103,182249.4128,218775530.5,67077633.5,3.511849711,7444.054148,5470.844672,1490.656543,320.8252343,38.79503645
01/01/2022,14:23,Indore,PUBLIC INTOXICATION,29,M,Medium,125,4.210236654,404741,32059,40637454,9521746,3.780066959,3883,2897,810,123,22
01/01/2022,16:20,Mumbai,DRUG OFFENSE,47,F,Medium,806,4.271025858,4180513,517063,588487222,179382201,3.331151118,1833,1469,272,77,9
01/01/2022,16:38,Nagpur,HOMICIDE,58,F,High,213,4.20608339,228779,18062,2212756,4681599,3.400094473,2117,1463,529,117,7
