"","City","Average_Rating"
"1","Aamby Valley City",4.58823529411765
"8","Abhaneri",4.20299884659746
"835","Achooranam",4.13636363636364
"866","Acharapakkam",3.5
"867","Achrol",4.82352941176471
"884","Adilabad",4.17768595041322
"1132","Adimaly",3.18181818181818
"1163","Adipur",4.26666666666667
"1208","Adoni",4.2
"1223","Adoor",4.28571428571429
"1240","Agartala",4.13741339491917
"2066","Agatti",4.21428571428571
"2122","Agonda",4.61970649895178
"4539","Agra",4.31257161773319
"13873","Tajganj",4.75
"15012","Mohali",4.23711340206186
"43855","Agumbe",4.04225352112676
"43909","Etmadpur",4.875
"44076","Ahmedabad",4.32377749306
"61983","Kalol",4.38
"62895","Ahmednagar",4.18690095846645
"63515","Aizawl",4
"63557","Ahwa",3.5
"63589","Airari",4
"63797","Ajanta",4.11012345679012
"65854","Ajmer",4.078697421981
"66180","Pushkar",3.95555555555556
"68689","Nimbahera",4
"68734","Kolkata",4.18607799755639
"68892","Akluj",4.6140350877193
"68958","Alampur",3.9
"68973","Akola",3.9
"69003","Alandi",4.14814814814815
"69026","Alappuzha",4.19577205882353
"72214","Kainakary",4.4
"73273","Pulinkunnu",3.8
"73372","Alchi",4.03252032520325
"73504","Alibaug",4.18681318681319
"75408","Aligarh",4.18
"75568","Alipurduar",4.25
"75586","Allahabad",3.96288113124171
"75649","Alirajpur",5
"77835","Almora",4.21170395869191
"79012","Alwar",4.0183611016661
"79027","Along",3.4
"79041","Alto-Porvorim",4.4
"81958","Amalapuram",4.25714285714286
"81978","Amaravathi",4.13636363636364
"82004","Amarkantak",4.02088167053364
"82426","Ambaji",4.2548596112311
"82899","Ambajogai",4.25
"82900","Ambala",4.20289855072464
"82916","Ambalappuzha",4
"83104","Ambarnath",3.98412698412698
"83188","Ambavli",4
"83210","Ambasamudram",4.5
"83233","Ambikapur",3.84210526315789
"83246","Amboli",4.39784946236559
"83333","Amravati",4.225
"83343","Ambur",4.5
"83587","Amritsar",4.14893352403458
"83597","Amreli",4.06666666666667
"99671","Anandpur Sahib",4.32258064516129
"99689","Anakulam",4.75
"99769","Anand",4.26829268292683
"99914","Vallabh Vidyanagar",5
"100056","Anantapur",4.29032258064516
"100192","Anantnag",4.09688581314879
"100465","Anaviratty",3.56643356643357
"100614","Andhakaranazhy",4
"100615","Andanallur",4
"100616","Angul",4.32692307692308
"100626","Anchal",4.33333333333333
